key_name,key_mode,key_strength,num_key_signature_changes,most_frequent_key_signature,average_pitch,median_pitch,std_dev_pitch,pitch_range,unique_pitch_classes,pitch_entropy,average_melodic_interval,note_density,rhythmic_variance,rest_proportion,chord_diversity,most_common_chord,consonance_ratio,num_instruments,instrument_diversity,most_common_instrument,average_tempo,min_tempo,max_tempo,tempo_variability,time_signature_changes,most_frequent_time_signature,measure_count,total_duration,composer
C,major,0.9319622655737871,4,0,65.21863305101438,66.0,10.545467156481452,55.0,12,3.2681728565257693,-0.002364066193853428,5.15472481827622,0.1689278648669089,0.40934730056406127,10,Major Second,0.020202020202020204,1,1,SFL,102.75,40.0,130.0,28.340562803162538,8,3/4,0,963.0,unknown
B,minor,0.9089404184864481,3,2,68.67691322446366,71.0,11.108826292445844,51.0,12,3.2349012170538662,-0.0009609224855861628,7.8533333333333335,0.05701308078784507,0.022410865874363327,5,Major Second,0.0,1,1,SFL,100.0,88.0,108.0,6.825557507934253,3,3/4,0,375.0,unknown
E-,major,0.8878677058032305,4,-3,66.48855213309174,67.0,11.19266409731527,68.0,12,3.323221959889849,-0.0011532125205930808,4.251798561151079,0.198082031174193,0.3396785109983079,38,Perfect Octave,0.044890162368672396,1,1,SFL,130.40384615384616,104.0,144.0,10.986459525225053,8,1/4,0,1112.0,unknown
C,minor,0.8610375785241664,2,-3,58.04470588235294,58.0,11.41131023958612,53.0,12,3.301371430934939,0.0,2.1450617283950617,0.26110333316080947,0.09424460431654676,11,Perfect Octave,0.020512820512820513,1,1,SFL,275.3333333333333,200.0,300.0,24.729649321321876,2,3/4,0,648.0,unknown
C,minor,0.9201582698408018,0,,58.891205802357206,59.0,7.498500587275658,44.0,12,3.212781848032967,-0.021778584392014518,6.910256410256411,0.09223496561158909,0.036178107606679034,10,Major Second,0.0,0,0,,69.5546875,22.0,110.0,25.22461694262856,2,4/4,0,156.0,unknown
A,minor,0.9343573525008378,1,0,76.6578073089701,76.0,5.783972055053023,30.0,11,3.118846020153297,0.0,2.181159420289855,0.09391866535689451,0.0033222591362126247,0,,0.0,1,1,SFL,70.0,70.0,70.0,0.0,1,3/4,0,138.0,unknown
C,minor,0.8593486041391415,3,-3,53.251612903225805,53.0,5.644973268758214,31.0,12,3.105124341395642,-0.012917115177610334,2.4031007751937983,0.0759405711642971,0.2849462365591398,0,,0.0,1,1,SFL,190.0,130.0,250.0,60.0,3,3/4,0,387.0,unknown
G,major,0.8734295255785698,6,1,66.67709147771697,66.0,9.638567578891957,45.0,12,2.9471748457504994,0.0,3.0027472527472527,0.1230401147115168,0.10521500457456541,12,Major Third,0.010869565217391304,1,1,SFL,107.89285714285714,60.0,120.0,13.283553971827304,4,1/4,0,364.0,unknown
C,major,0.8157268013034504,4,1,63.6654371080782,64.0,12.945813231035219,60.0,12,3.2622913946352945,0.0007378712414683637,3.093220338983051,0.4640071982380121,0.4209393346379648,15,Perfect Octave,0.006557377049180328,1,1,SFL,262.8958333333333,200.0,360.0,24.832555566679446,4,2/2,0,1652.0,unknown
A,minor,0.9587286096278002,1,0,74.86868686868686,75.0,5.322973562414974,29.0,12,3.222215699921772,-0.007865168539325843,3.4862745098039216,0.01782914790319376,0.003374578177727784,1,Major Second,0.0,1,1,SFL,133.33333333333334,50.0,250.0,84.98365855987974,1,3/4,0,255.0,unknown
E,minor,0.9304210012471209,0,,62.27917282127031,62.0,14.588394364294619,73.0,12,3.4184402269055285,0.002770083102493075,5.425867507886435,0.1277443794693817,0.37372093023255815,38,Perfect Octave,0.04252998909487459,2,2,Piano,125.4,107.0,160.0,18.413038858374247,3,4/4,0,792.5,unknown
A,major,0.824126162495229,4,3,62.924140579988475,64.0,12.462850774194393,68.0,12,3.376395868061161,-0.000768344218209758,32268/7471,0.15666767148424102,0.49274823354406844,55,Major Third,0.13383985973115137,1,1,SFL,61.6,46.0,72.0,7.683749084919418,64,3/4,0,7471/12,unknown
G,minor,0.8757943559277516,4,-2,66.91673003802282,68.0,9.26698961538661,57.0,12,3.275392459081911,-0.004564473183720046,4.891566265060241,0.10461733907461833,0.6625615763546798,60,Perfect Octave,0.07640067911714771,1,1,SFL,38.625,24.0,46.0,6.580036094125928,36,2/4,0,249.0,unknown
D,minor,0.8156874994619208,4,0,66.27745045527584,66.0,9.542066552886466,55.0,12,3.2493668497601336,0.0,3.5170340681362724,0.3150712250712251,0.2535612535612536,8,Minor Seventh,0.12,1,1,SFL,119.6,86.0,136.0,16.471389336260213,104,1/4,0,499.0,unknown
A,major,0.8888874584122489,4,3,63.15449213543055,63.0,13.239100654464199,69.0,12,3.217939575814173,0.0,4.171156893819334,0.3625189101877962,0.20015197568389057,24,Major Second,0.09632446134347275,1,1,SFL,127.62616822429906,84.0,144.0,11.671935639780456,4,2/2,0,1577.5,unknown
F,major,0.837502672484768,7,-1,62.32764833053087,64.0,13.0575794609158,60.0,12,3.2845350137745433,-0.004565112926477655,5.681034482758621,0.25399284603335737,0.6272129489124937,14,Perfect Fifth,0.0,1,1,SFL,183.5,150.0,230.0,16.99918298690329,7,3/4,0,696.0,unknown
A,major,0.8711049085283034,6,3,63.3684350132626,64.0,11.442014390254222,57.0,12,3.3114248867784872,0.003183868400106129,3.837121212121212,0.1870846915103384,0.11451135241855874,26,Minor Third,0.2077922077922078,1,1,SFL,104.0625,40.0,125.0,22.289203524352324,2,4/4,0,792.0,unknown
E,minor,0.8504629991976637,6,4,62.936155913978496,64.0,10.76361774420816,60.0,12,3.3529268180569733,-0.004707464694014795,5.228915662650603,0.046458383474791434,0.3859447004608295,42,Perfect Octave,0.020036429872495445,1,1,SFL,32.68421052631579,15.0,40.0,6.32499329376759,2,4/8,0,166.0,unknown
F#,minor,0.8414191158906453,9,3,64.28136882129277,67.0,16.30757142137648,70.0,12,3.30809860991272,-0.016483516483516484,4.45933014354067,0.12622198378635852,0.39127324749642345,49,Perfect Octave,0.09235668789808917,1,1,SFL,36.96,16.0,52.0,9.651859924387631,3,3/8,0,313.5,unknown
B-,minor,0.7761661547098991,15,-5,64.11515453639083,65.0,11.345661178104246,57.0,12,3.3671146085724475,0.0024937655860349127,2.58203125,0.23172464279428537,0.9021684316691881,6,Perfect Fifth,0.0,1,1,SFL,387.12820512820514,180.0,480.0,77.53813932913653,35,2/2,0,768.0,unknown
A,minor,0.9560407882608096,1,0,75.27690802348337,76.0,5.5152018190673,31.0,12,3.3516404436110467,0.01665034280117532,3.923076923076923,0.0064756343713956175,0.00196078431372549,1,Major Second,0.0,1,1,SFL,75.0,50.0,100.0,25.0,1,4/4,0,260.0,unknown
G#,minor,0.9263826435299947,0,,61.40625,61.5,10.116932442623659,47.0,12,3.259366352062179,-0.008695652173913044,6.033333333333333,0.2205782074515728,0.09944751381215469,18,Minor Third,0.0,0,0,,59.214285714285715,35.0,70.0,9.748102902825844,2,6/8,0,90.0,unknown
C#,minor,0.825660687476208,3,4,58.13321799307958,61.0,10.874380403503064,58.0,12,3.201230041845737,-0.006060606060606061,3.6097560975609757,0.5939047155263318,0.11003861003861004,6,Perfect Octave,0.01904761904761905,1,1,SFL,51.084210526315786,30.0,57.0,4.895031117356579,3,4/4,0,287.0,unknown
E-,major,0.9088161136227271,6,-3,65.06731436502429,65.0,9.736873778024597,45.0,11,2.893923734585348,-0.008333333333333333,3.119047619047619,0.08372485442652407,0.9701596113809854,0,,0.0,1,1,SFL,192.96153846153845,159.5,216.0,16.745219224122007,6,3/4,0,462.0,unknown
C#,minor,0.9565369954360131,0,,63.897135416666664,66.0,10.10974118334205,48.0,12,3.27248506501425,-0.01564537157757497,3.141025641025641,1.3117305289462935,0.345578231292517,10,Minor Second,0.0,0,0,,98.83333333333333,70.0,114.0,14.769525682596882,4,6/4,0,234.0,unknown
C,major,0.9366862954720314,2,0,67.62346221441125,69.0,13.686922855680878,60.0,12,3.2342966687691894,-0.0015381234893430016,3.0527950310559007,0.2530967143242338,0.09528653780942692,31,Major Second,0.14127861089187055,1,1,SFL,156.8421052631579,100.0,180.0,18.018304020589543,4,1/4,0,966.0,unknown
A,minor,0.8944177898376303,12,0,65.8262086513995,68.0,13.159428556207532,74.0,12,3.2891692550751097,-0.007890048358360905,2.917300380228137,0.19638639307230119,0.44509612251547737,30,Perfect Octave,0.0943683409436834,1,1,SFL,205.0909090909091,144.0,240.0,28.391594612280926,4,2/4,0,1052.0,unknown
C,minor,0.9094701508862676,4,-3,53.50094161958569,53.0,5.592695924232175,31.0,12,3.1043346007594326,-0.017907634307257305,3.2777777777777777,0.03299259472054646,0.2570621468926554,0,,0.0,1,1,SFL,108.28571428571429,62.0,250.0,58.944802959365035,4,4/4,0,324.0,unknown
,,0.0,2,-4,61.31031613976705,61.0,10.929179526601311,63.0,12,3.375412188305759,-0.012489592006661115,1332/289,0.10270674701176633,0.5238095238095238,68,Perfect Octave,0.019867549668874173,2,2,SFL,95.0,70.0,120.0,25.0,2,2/4,0,2023/12,unknown
D,minor,0.8951039900564827,21,-1,62.40452460053789,62.0,11.893629106379242,59.0,12,3.2534055901979175,-0.0018987341772151898,9.597345132743364,0.05432933158139549,0.5016136468418626,39,Major Second,0.09508408796895214,1,1,SFL,54.256410256410255,30.0,60.0,4.90273575496087,7,2/4,0,452.0,unknown
C,minor,0.9126795773008263,0,,62.39684625492772,65.0,10.492106565040094,48.0,12,3.2331906022745573,-0.04736842105263158,5.696969696969697,0.08206008366970949,0.07313829787234043,5,Perfect Octave,0.0,0,0,,67.47833333333334,54.0,80.0,8.75503743884374,3,4/4,0,132.0,unknown
A-,major,0.9555391040492626,6,-4,62.7926455566905,63.0,14.884262621902408,67.0,12,3.2491202239675134,-0.0013623978201634877,4.873399715504979,0.15719987178011882,0.1330998248686515,55,Minor Third,0.03927813163481953,1,1,SFL,54.372093023255815,24.0,70.0,8.475747221814185,2,3/4,0,351.5,unknown
F,minor,0.9103677378398433,4,-4,64.38701622971286,65.0,9.513904993518915,54.0,12,3.301399975863622,-0.009369144284821987,2.1903914590747333,0.29843367356029177,0.1478472786352559,21,Augmented Second,0.0084985835694051,1,1,SFL,183.63636363636363,140.0,210.0,21.436047495548355,4,1/4,0,562.0,unknown
E-,major,0.9224874593262785,8,-3,65.33396584440227,67.0,10.905217142836714,56.0,12,3.113432553281239,-0.00721336370539104,6.151785714285714,0.28444127585167356,0.46734397677793904,30,Major Second,0.014184397163120567,3,3,Piano,55.0,55.0,55.0,0.0,8,3/4,0,336.0,unknown
